"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
206,29 Feb 2000 08:25:58.006,29 Feb 2000 10:23:16.712,7038.706
207,29 Feb 2000 15:12:20.536,29 Feb 2000 17:42:17.137,8996.601
208,29 Feb 2000 23:16:50.464,1 Mar 2000 01:31:50.655,8100.191
209,1 Mar 2000 05:42:31.602,1 Mar 2000 07:19:38.351,5826.749
210,1 Mar 2000 11:37:05.326,1 Mar 2000 13:56:57.126,8391.799
211,1 Mar 2000 19:42:41.112,1 Mar 2000 22:09:29.156,8808.045
212,2 Mar 2000 02:45:33.133,2 Mar 2000 04:34:38.996,6545.863
213,2 Mar 2000 08:35:48.195,2 Mar 2000 10:35:53.546,7205.350
214,2 Mar 2000 15:30:23.578,2 Mar 2000 18:01:27.447,9063.869
215,2 Mar 2000 23:30:25.767,3 Mar 2000 01:43:27.940,7982.173
216,3 Mar 2000 05:52:05.322,3 Mar 2000 07:30:09.030,5883.708
217,3 Mar 2000 11:50:05.923,3 Mar 2000 14:11:18.653,8472.729
218,3 Mar 2000 19:59:04.893,3 Mar 2000 22:24:55.112,8750.219
219,4 Mar 2000 02:57:24.775,4 Mar 2000 04:43:53.351,6388.576
220,4 Mar 2000 08:45:52.389,4 Mar 2000 10:48:40.105,7367.716
221,4 Mar 2000 15:49:10.017,4 Mar 2000 18:21:11.905,9121.889
222,4 Mar 2000 23:43:51.578,5 Mar 2000 01:54:45.930,7854.352
223,5 Mar 2000 06:01:29.184,5 Mar 2000 07:40:56.059,5966.875
224,5 Mar 2000 12:03:29.991,5 Mar 2000 14:25:55.872,8545.882
225,5 Mar 2000 20:14:56.555,5 Mar 2000 22:39:48.870,8692.315
226,6 Mar 2000 03:09:02.795,6 Mar 2000 04:53:04.953,6242.159
227,6 Mar 2000 08:56:12.006,6 Mar 2000 11:01:35.984,7523.978
228,6 Mar 2000 16:08:35.178,6 Mar 2000 18:41:13.648,9158.471
229,6 Mar 2000 23:57:08.263,7 Mar 2000 02:05:45.313,7717.050
230,7 Mar 2000 06:10:45.894,7 Mar 2000 07:51:59.245,6073.351
231,7 Mar 2000 12:17:18.946,7 Mar 2000 14:40:51.393,8612.448
232,7 Mar 2000 20:30:21.145,7 Mar 2000 22:54:13.110,8631.965
233,8 Mar 2000 03:20:26.263,8 Mar 2000 05:02:16.778,6110.514
234,8 Mar 2000 09:06:48.220,8 Mar 2000 11:14:40.912,7672.692
235,8 Mar 2000 16:28:28.016,8 Mar 2000 19:01:11.735,9163.719
236,9 Mar 2000 00:10:15.973,9 Mar 2000 02:16:26.875,7570.902
237,9 Mar 2000 06:19:58.409,9 Mar 2000 08:03:18.031,6199.622
238,9 Mar 2000 12:31:34.522,9 Mar 2000 14:56:08.509,8673.987
239,9 Mar 2000 20:45:22.969,9 Mar 2000 23:08:10.103,8567.135
240,10 Mar 2000 03:31:34.351,10 Mar 2000 05:11:31.870,5997.519
241,10 Mar 2000 09:17:41.996,10 Mar 2000 11:27:54.813,7812.817
242,10 Mar 2000 16:48:30.895,10 Mar 2000 19:20:46.972,9136.077
243,11 Mar 2000 00:23:14.673,11 Mar 2000 02:26:51.516,7416.843
244,11 Mar 2000 06:29:09.754,11 Mar 2000 08:14:51.640,6341.886
245,11 Mar 2000 12:46:18.872,11 Mar 2000 15:11:51.276,8732.405
246,11 Mar 2000 21:00:05.546,11 Mar 2000 23:21:41.715,8496.169
247,12 Mar 2000 03:42:26.419,12 Mar 2000 05:20:53.212,5906.792
248,12 Mar 2000 09:28:54.147,12 Mar 2000 11:41:17.771,7943.624
249,12 Mar 2000 17:08:22.806,12 Mar 2000 19:39:46.175,9083.370
250,13 Mar 2000 00:36:04.157,13 Mar 2000 02:37:00.348,7256.191
251,13 Mar 2000 06:38:22.946,13 Mar 2000 08:26:39.164,6496.219
252,13 Mar 2000 13:01:34.538,13 Mar 2000 15:28:04.534,8789.995
253,13 Mar 2000 21:14:31.689,13 Mar 2000 23:34:49.446,8417.757
254,14 Mar 2000 03:53:02.158,14 Mar 2000 05:30:23.607,5841.449
255,14 Mar 2000 09:40:25.382,14 Mar 2000 11:54:50.082,8064.699
256,14 Mar 2000 17:27:45.064,14 Mar 2000 19:58:02.843,9017.779
257,15 Mar 2000 00:48:44.055,15 Mar 2000 02:46:54.706,7090.651
258,15 Mar 2000 06:47:40.848,15 Mar 2000 08:38:39.655,6658.807
259,15 Mar 2000 13:17:24.495,15 Mar 2000 15:44:53.665,8849.170
260,15 Mar 2000 21:28:43.603,15 Mar 2000 23:47:34.521,8330.918
261,16 Mar 2000 04:03:21.664,16 Mar 2000 05:40:05.526,5803.862
262,16 Mar 2000 09:52:16.371,16 Mar 2000 12:08:32.269,8175.898
263,16 Mar 2000 17:46:25.947,16 Mar 2000 20:15:35.592,8949.645
264,17 Mar 2000 01:01:13.847,17 Mar 2000 02:56:36.202,6922.354
265,17 Mar 2000 06:57:06.111,17 Mar 2000 08:50:52.193,6826.083
266,17 Mar 2000 13:33:52.003,17 Mar 2000 16:02:23.941,8911.938
267,17 Mar 2000 21:42:42.992,17 Mar 2000 23:59:57.928,8234.935
