"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
196,29 Jan 2000 20:30:53.408,29 Jan 2000 20:40:41.342,587.935
197,30 Jan 2000 10:09:26.739,30 Jan 2000 10:21:03.633,696.894
198,30 Jan 2000 11:56:49.397,30 Jan 2000 12:09:55.948,786.551
199,30 Jan 2000 13:47:03.533,30 Jan 2000 13:58:44.587,701.054
200,30 Jan 2000 15:37:30.533,30 Jan 2000 15:48:51.176,680.642
201,30 Jan 2000 17:26:34.428,30 Jan 2000 17:39:25.522,771.094
202,30 Jan 2000 19:15:14.705,30 Jan 2000 19:27:47.298,752.593
203,30 Jan 2000 21:07:14.135,30 Jan 2000 21:09:47.508,153.373
204,31 Jan 2000 08:57:46.540,31 Jan 2000 09:04:38.708,412.168
205,31 Jan 2000 10:42:01.777,31 Jan 2000 10:54:56.157,774.380
206,31 Jan 2000 12:30:57.255,31 Jan 2000 12:43:33.416,756.162
207,31 Jan 2000 14:21:38.225,31 Jan 2000 14:32:50.456,672.231
208,31 Jan 2000 16:11:29.043,31 Jan 2000 16:23:27.017,717.973
209,31 Jan 2000 18:00:10.904,31 Jan 2000 18:13:21.326,790.422
210,31 Jan 2000 19:49:17.926,31 Jan 2000 19:59:57.448,639.522
211,1 Feb 2000 09:28:33.452,1 Feb 2000 09:39:33.637,660.185
212,1 Feb 2000 11:15:25.352,1 Feb 2000 11:28:35.181,789.829
213,1 Feb 2000 13:05:26.580,1 Feb 2000 13:17:18.918,712.338
214,1 Feb 2000 14:56:00.503,1 Feb 2000 15:07:14.914,674.411
215,1 Feb 2000 16:45:13.074,1 Feb 2000 16:57:54.354,761.279
216,1 Feb 2000 18:33:50.926,1 Feb 2000 18:46:39.428,768.501
217,1 Feb 2000 20:24:29.200,1 Feb 2000 20:30:23.243,354.043
218,2 Feb 2000 08:17:51.875,2 Feb 2000 08:22:22.813,270.938
219,2 Feb 2000 10:00:52.131,2 Feb 2000 10:13:32.922,760.791
220,2 Feb 2000 11:49:25.237,2 Feb 2000 12:02:11.833,766.596
221,2 Feb 2000 13:40:02.328,2 Feb 2000 13:51:19.733,677.405
222,2 Feb 2000 15:30:03.936,2 Feb 2000 15:41:50.250,706.314
223,2 Feb 2000 17:18:50.086,2 Feb 2000 17:31:58.524,788.438
224,2 Feb 2000 19:07:46.439,2 Feb 2000 19:19:06.908,680.469
225,3 Feb 2000 08:47:46.226,3 Feb 2000 08:58:00.228,614.002
226,3 Feb 2000 10:34:03.971,3 Feb 2000 10:47:14.260,790.289
227,3 Feb 2000 12:23:50.105,3 Feb 2000 12:35:54.393,724.288
228,3 Feb 2000 14:14:29.035,3 Feb 2000 14:25:39.491,670.457
229,3 Feb 2000 16:03:51.206,3 Feb 2000 16:16:21.468,750.262
230,3 Feb 2000 17:52:28.212,3 Feb 2000 18:05:27.910,779.698
231,3 Feb 2000 19:42:27.789,3 Feb 2000 19:50:12.619,464.830
232,4 Feb 2000 09:19:46.297,4 Feb 2000 09:32:08.454,742.157
233,4 Feb 2000 11:07:55.072,4 Feb 2000 11:20:50.689,775.617
234,4 Feb 2000 12:58:25.733,4 Feb 2000 13:09:50.458,684.726
235,4 Feb 2000 14:48:37.625,4 Feb 2000 15:00:13.179,695.553
236,4 Feb 2000 16:37:29.340,4 Feb 2000 16:50:33.168,783.828
237,4 Feb 2000 18:26:17.860,4 Feb 2000 18:38:10.831,712.971
238,5 Feb 2000 08:07:06.465,5 Feb 2000 08:16:22.017,555.553
239,5 Feb 2000 09:52:45.455,5 Feb 2000 10:05:52.995,787.539
240,5 Feb 2000 11:42:14.433,5 Feb 2000 11:54:30.869,736.436
241,5 Feb 2000 13:32:56.174,5 Feb 2000 13:44:05.150,668.976
242,5 Feb 2000 15:22:28.663,5 Feb 2000 15:34:47.126,738.463
243,5 Feb 2000 17:11:06.294,5 Feb 2000 17:24:13.024,786.730
244,5 Feb 2000 19:00:40.696,5 Feb 2000 19:09:44.921,544.225
245,6 Feb 2000 08:38:44.668,6 Feb 2000 08:50:42.380,717.713
246,6 Feb 2000 10:26:26.996,6 Feb 2000 10:39:29.823,782.827
247,6 Feb 2000 12:16:48.724,6 Feb 2000 12:28:22.596,693.871
248,6 Feb 2000 14:07:09.991,6 Feb 2000 14:18:36.135,686.144
249,6 Feb 2000 15:56:08.499,6 Feb 2000 16:09:05.464,776.965
250,6 Feb 2000 17:44:51.472,6 Feb 2000 17:57:09.952,738.480
251,7 Feb 2000 07:26:36.689,7 Feb 2000 07:34:36.535,479.846
252,7 Feb 2000 09:11:30.031,7 Feb 2000 09:24:31.190,781.159
253,7 Feb 2000 11:00:39.877,7 Feb 2000 11:13:08.200,748.324
254,7 Feb 2000 12:51:22.031,7 Feb 2000 13:02:32.062,670.031
255,7 Feb 2000 14:41:05.294,7 Feb 2000 14:53:11.623,726.328
256,7 Feb 2000 16:29:44.958,7 Feb 2000 16:42:55.019,790.062
257,7 Feb 2000 18:19:01.480,7 Feb 2000 18:29:06.620,605.139
258,8 Feb 2000 07:57:47.738,8 Feb 2000 08:09:14.211,686.473
259,8 Feb 2000 09:45:01.229,8 Feb 2000 09:58:09.073,787.844
260,8 Feb 2000 11:35:11.635,8 Feb 2000 11:46:56.066,704.431
261,8 Feb 2000 13:25:40.953,8 Feb 2000 13:36:59.446,678.493
262,8 Feb 2000 15:14:47.412,8 Feb 2000 15:27:35.634,768.222
263,8 Feb 2000 17:03:26.764,8 Feb 2000 17:16:04.796,758.032
264,8 Feb 2000 18:54:50.643,8 Feb 2000 18:58:47.504,236.861
265,9 Feb 2000 06:46:22.382,9 Feb 2000 06:52:38.342,375.961
266,9 Feb 2000 08:30:17.930,9 Feb 2000 08:43:08.630,770.700
267,9 Feb 2000 10:19:06.725,9 Feb 2000 10:31:46.226,759.501
268,9 Feb 2000 12:09:46.774,9 Feb 2000 12:21:00.356,673.581
269,9 Feb 2000 13:59:40.946,9 Feb 2000 14:11:35.258,714.312
270,9 Feb 2000 15:48:23.984,9 Feb 2000 16:01:34.106,790.121
271,9 Feb 2000 17:37:27.377,9 Feb 2000 17:48:20.526,653.150
272,10 Feb 2000 07:16:56.203,10 Feb 2000 07:27:43.275,647.072
273,10 Feb 2000 09:03:37.984,10 Feb 2000 09:16:48.280,790.296
274,10 Feb 2000 10:53:34.793,10 Feb 2000 11:05:30.764,715.971
275,10 Feb 2000 12:44:10.478,10 Feb 2000 12:55:23.417,672.939
276,10 Feb 2000 14:33:25.916,10 Feb 2000 14:46:03.909,757.994
277,10 Feb 2000 16:22:03.340,10 Feb 2000 16:34:55.769,772.429
278,10 Feb 2000 18:12:27.532,10 Feb 2000 18:19:00.535,393.003
279,11 Feb 2000 06:06:43.761,11 Feb 2000 06:10:07.285,203.525
280,11 Feb 2000 07:49:09.426,11 Feb 2000 08:01:45.048,755.622
281,11 Feb 2000 09:37:35.252,11 Feb 2000 09:50:24.798,769.546
282,11 Feb 2000 11:28:10.632,11 Feb 2000 11:39:30.078,679.446
283,11 Feb 2000 13:18:15.480,11 Feb 2000 13:29:58.363,702.883
284,11 Feb 2000 15:07:03.211,11 Feb 2000 15:20:10.494,787.283
